NOC,Region,Occupational category
#7246,Vancouver Island / Coast,STEM occupations
#7247,Vancouver Island / Coast,STEM occupations
#6322,Vancouver Island / Coast,Trades – non-construction
#6331,Vancouver Island / Coast,Trades – non-construction
#6332,Vancouver Island / Coast,Trades – non-construction
#6341,Vancouver Island / Coast,Trades – non-construction
#6346,Vancouver Island / Coast,Trades – non-construction
#7231,Vancouver Island / Coast,Trades – non-construction
#7232,Vancouver Island / Coast,Trades – non-construction
#7314,Vancouver Island / Coast,Trades – non-construction
#7315,Vancouver Island / Coast,Trades – non-construction
#7321,Vancouver Island / Coast,Trades – non-construction
#7322,Vancouver Island / Coast,Trades – non-construction
#7332,Vancouver Island / Coast,Trades – non-construction
#7334,Vancouver Island / Coast,Trades – non-construction
#2225,Vancouver Island / Coast,Trades – construction
#2243,Vancouver Island / Coast,Trades – construction
#7233,Vancouver Island / Coast,Trades – construction
#7234,Vancouver Island / Coast,Trades – construction
#7235,Vancouver Island / Coast,Trades – construction
#7236,Vancouver Island / Coast,Trades – construction
#7237,Vancouver Island / Coast,Trades – construction
#7241,Vancouver Island / Coast,Trades – construction
#7242,Vancouver Island / Coast,Trades – construction
#7244,Vancouver Island / Coast,Trades – construction
#7251,Vancouver Island / Coast,Trades – construction
#7252,Vancouver Island / Coast,Trades – construction
#7253,Vancouver Island / Coast,Trades – construction
#7271,Vancouver Island / Coast,Trades – construction
#7272,Vancouver Island / Coast,Trades – construction
#7281,Vancouver Island / Coast,Trades – construction
#7282,Vancouver Island / Coast,Trades – construction
#7283,Vancouver Island / Coast,Trades – construction
#7284,Vancouver Island / Coast,Trades – construction
#7291,Vancouver Island / Coast,Trades – construction
#7292,Vancouver Island / Coast,Trades – construction
#7293,Vancouver Island / Coast,Trades – construction
#7294,Vancouver Island / Coast,Trades – construction
#7295,Vancouver Island / Coast,Trades – construction
#7311,Vancouver Island / Coast,Trades – construction
#7312,Vancouver Island / Coast,Trades – construction
#7313,Vancouver Island / Coast,Trades – construction
#7331,Vancouver Island / Coast,Trades – construction
#7333,Vancouver Island / Coast,Trades – construction
#7371,Vancouver Island / Coast,Trades – construction
#7373,Vancouver Island / Coast,Trades – construction
#7384,Vancouver Island / Coast,Trades – construction
#7521,Vancouver Island / Coast,Trades – construction
#7611,Vancouver Island / Coast,Trades – construction
#8412,Vancouver Island / Coast,Trades – construction
#0011,Vancouver Island / Coast,Management occupations
#0012,Vancouver Island / Coast,Management occupations
#0013,Vancouver Island / Coast,Management occupations
#0014,Vancouver Island / Coast,Management occupations
#0015,Vancouver Island / Coast,Management occupations
#0016,Vancouver Island / Coast,Management occupations
#0111,Vancouver Island / Coast,Management occupations
#0112,Vancouver Island / Coast,Management occupations
#0113,Vancouver Island / Coast,Management occupations
#0114,Vancouver Island / Coast,Management occupations
#0121,Vancouver Island / Coast,Management occupations
#0122,Vancouver Island / Coast,Management occupations
#0124,Vancouver Island / Coast,Management occupations
#0125,Vancouver Island / Coast,Management occupations
#0131,Vancouver Island / Coast,Management occupations
#0132,Vancouver Island / Coast,Management occupations
#0211,Vancouver Island / Coast,Management occupations
#0212,Vancouver Island / Coast,Management occupations
#0213,Vancouver Island / Coast,Management occupations
#0311,Vancouver Island / Coast,Management occupations
#0411,Vancouver Island / Coast,Management occupations
#0412,Vancouver Island / Coast,Management occupations
#0413,Vancouver Island / Coast,Management occupations
#0414,Vancouver Island / Coast,Management occupations
#0421,Vancouver Island / Coast,Management occupations
#0422,Vancouver Island / Coast,Management occupations
#0423,Vancouver Island / Coast,Management occupations
#0431,Vancouver Island / Coast,Management occupations
#0432,Vancouver Island / Coast,Management occupations
#0433,Vancouver Island / Coast,Management occupations
#0511,Vancouver Island / Coast,Management occupations
#0512,Vancouver Island / Coast,Management occupations
#0513,Vancouver Island / Coast,Management occupations
#0601,Vancouver Island / Coast,Management occupations
#0621,Vancouver Island / Coast,Management occupations
#0631,Vancouver Island / Coast,Management occupations
#0632,Vancouver Island / Coast,Management occupations
#0651,Vancouver Island / Coast,Management occupations
#0711,Vancouver Island / Coast,Management occupations
#0712,Vancouver Island / Coast,Management occupations
#0714,Vancouver Island / Coast,Management occupations
#0731,Vancouver Island / Coast,Management occupations
#0811,Vancouver Island / Coast,Management occupations
#0821,Vancouver Island / Coast,Management occupations
#0822,Vancouver Island / Coast,Management occupations
#0823,Vancouver Island / Coast,Management occupations
#0911,Vancouver Island / Coast,Management occupations
#0912,Vancouver Island / Coast,Management occupations
#3011,Vancouver Island / Coast,Health occupations
#3012,Vancouver Island / Coast,Health occupations
#3111,Vancouver Island / Coast,Health occupations
#3112,Vancouver Island / Coast,Health occupations
#3113,Vancouver Island / Coast,Health occupations
#3114,Vancouver Island / Coast,Health occupations
#3121,Vancouver Island / Coast,Health occupations
#3122,Vancouver Island / Coast,Health occupations
#3124,Vancouver Island / Coast,Health occupations
#3125,Vancouver Island / Coast,Health occupations
#3131,Vancouver Island / Coast,Health occupations
#3132,Vancouver Island / Coast,Health occupations
#3141,Vancouver Island / Coast,Health occupations
#3142,Vancouver Island / Coast,Health occupations
#3143,Vancouver Island / Coast,Health occupations
#3144,Vancouver Island / Coast,Health occupations
#3211,Vancouver Island / Coast,Health occupations
#3212,Vancouver Island / Coast,Health occupations
#3213,Vancouver Island / Coast,Health occupations
#3214,Vancouver Island / Coast,Health occupations
#3215,Vancouver Island / Coast,Health occupations
#3216,Vancouver Island / Coast,Health occupations
#3217,Vancouver Island / Coast,Health occupations
#3219,Vancouver Island / Coast,Health occupations
#3221,Vancouver Island / Coast,Health occupations
#3222,Vancouver Island / Coast,Health occupations
#3223,Vancouver Island / Coast,Health occupations
#3231,Vancouver Island / Coast,Health occupations
#3232,Vancouver Island / Coast,Health occupations
#3233,Vancouver Island / Coast,Health occupations
#3234,Vancouver Island / Coast,Health occupations
#3236,Vancouver Island / Coast,Health occupations
#3237,Vancouver Island / Coast,Health occupations
#3411,Vancouver Island / Coast,Health occupations
#3413,Vancouver Island / Coast,Health occupations
#3414,Vancouver Island / Coast,Health occupations
#1111,Vancouver Island / Coast,Non-management occupations
#1112,Vancouver Island / Coast,Non-management occupations
#1113,Vancouver Island / Coast,Non-management occupations
#1114,Vancouver Island / Coast,Non-management occupations
#1121,Vancouver Island / Coast,Non-management occupations
#1122,Vancouver Island / Coast,Non-management occupations
#1123,Vancouver Island / Coast,Non-management occupations
#1211,Vancouver Island / Coast,Non-management occupations
#1212,Vancouver Island / Coast,Non-management occupations
#1213,Vancouver Island / Coast,Non-management occupations
#1214,Vancouver Island / Coast,Non-management occupations
#1215,Vancouver Island / Coast,Non-management occupations
#1221,Vancouver Island / Coast,Non-management occupations
#1222,Vancouver Island / Coast,Non-management occupations
#1223,Vancouver Island / Coast,Non-management occupations
#1224,Vancouver Island / Coast,Non-management occupations
#1225,Vancouver Island / Coast,Non-management occupations
#1226,Vancouver Island / Coast,Non-management occupations
#1227,Vancouver Island / Coast,Non-management occupations
#1228,Vancouver Island / Coast,Non-management occupations
#1241,Vancouver Island / Coast,Non-management occupations
#1242,Vancouver Island / Coast,Non-management occupations
#1243,Vancouver Island / Coast,Non-management occupations
#1251,Vancouver Island / Coast,Non-management occupations
#1252,Vancouver Island / Coast,Non-management occupations
#1253,Vancouver Island / Coast,Non-management occupations
#1254,Vancouver Island / Coast,Non-management occupations
#1311,Vancouver Island / Coast,Non-management occupations
#1312,Vancouver Island / Coast,Non-management occupations
#1313,Vancouver Island / Coast,Non-management occupations
#1314,Vancouver Island / Coast,Non-management occupations
#1315,Vancouver Island / Coast,Non-management occupations
#1411,Vancouver Island / Coast,Non-management occupations
#1414,Vancouver Island / Coast,Non-management occupations
#1415,Vancouver Island / Coast,Non-management occupations
#1416,Vancouver Island / Coast,Non-management occupations
#1422,Vancouver Island / Coast,Non-management occupations
#1423,Vancouver Island / Coast,Non-management occupations
#1431,Vancouver Island / Coast,Non-management occupations
#1432,Vancouver Island / Coast,Non-management occupations
#1434,Vancouver Island / Coast,Non-management occupations
#1435,Vancouver Island / Coast,Non-management occupations
#1451,Vancouver Island / Coast,Non-management occupations
#1452,Vancouver Island / Coast,Non-management occupations
#1454,Vancouver Island / Coast,Non-management occupations
#1511,Vancouver Island / Coast,Non-management occupations
#1512,Vancouver Island / Coast,Non-management occupations
#1513,Vancouver Island / Coast,Non-management occupations
#1521,Vancouver Island / Coast,Non-management occupations
#1522,Vancouver Island / Coast,Non-management occupations
#1523,Vancouver Island / Coast,Non-management occupations
#1524,Vancouver Island / Coast,Non-management occupations
#1525,Vancouver Island / Coast,Non-management occupations
#1526,Vancouver Island / Coast,Non-management occupations
#2111,Vancouver Island / Coast,Non-management occupations
#2112,Vancouver Island / Coast,Non-management occupations
#2113,Vancouver Island / Coast,Non-management occupations
#2114,Vancouver Island / Coast,Non-management occupations
#2115,Vancouver Island / Coast,Non-management occupations
#2121,Vancouver Island / Coast,Non-management occupations
#2122,Vancouver Island / Coast,Non-management occupations
#2123,Vancouver Island / Coast,Non-management occupations
#2131,Vancouver Island / Coast,Non-management occupations
#2132,Vancouver Island / Coast,Non-management occupations
#2133,Vancouver Island / Coast,Non-management occupations
#2134,Vancouver Island / Coast,Non-management occupations
#2141,Vancouver Island / Coast,Non-management occupations
#2142,Vancouver Island / Coast,Non-management occupations
#2143,Vancouver Island / Coast,Non-management occupations
#2144,Vancouver Island / Coast,Non-management occupations
#2145,Vancouver Island / Coast,Non-management occupations
#2146,Vancouver Island / Coast,Non-management occupations
#2147,Vancouver Island / Coast,Non-management occupations
#2148,Vancouver Island / Coast,Non-management occupations
#2151,Vancouver Island / Coast,Non-management occupations
#2152,Vancouver Island / Coast,Non-management occupations
#2153,Vancouver Island / Coast,Non-management occupations
#2154,Vancouver Island / Coast,Non-management occupations
#2161,Vancouver Island / Coast,Non-management occupations
#2171,Vancouver Island / Coast,Non-management occupations
#2172,Vancouver Island / Coast,Non-management occupations
#2173,Vancouver Island / Coast,Non-management occupations
#2174,Vancouver Island / Coast,Non-management occupations
#2175,Vancouver Island / Coast,Non-management occupations
#2211,Vancouver Island / Coast,Non-management occupations
#2212,Vancouver Island / Coast,Non-management occupations
#2221,Vancouver Island / Coast,Non-management occupations
#2222,Vancouver Island / Coast,Non-management occupations
#2223,Vancouver Island / Coast,Non-management occupations
#2224,Vancouver Island / Coast,Non-management occupations
#2225,Vancouver Island / Coast,Non-management occupations
#2231,Vancouver Island / Coast,Non-management occupations
#2232,Vancouver Island / Coast,Non-management occupations
#2233,Vancouver Island / Coast,Non-management occupations
#2234,Vancouver Island / Coast,Non-management occupations
#2241,Vancouver Island / Coast,Non-management occupations
#2242,Vancouver Island / Coast,Non-management occupations
#2243,Vancouver Island / Coast,Non-management occupations
#2244,Vancouver Island / Coast,Non-management occupations
#2251,Vancouver Island / Coast,Non-management occupations
#2252,Vancouver Island / Coast,Non-management occupations
#2253,Vancouver Island / Coast,Non-management occupations
#2254,Vancouver Island / Coast,Non-management occupations
#2255,Vancouver Island / Coast,Non-management occupations
#2261,Vancouver Island / Coast,Non-management occupations
#2262,Vancouver Island / Coast,Non-management occupations
#2263,Vancouver Island / Coast,Non-management occupations
#2264,Vancouver Island / Coast,Non-management occupations
#2271,Vancouver Island / Coast,Non-management occupations
#2272,Vancouver Island / Coast,Non-management occupations
#2273,Vancouver Island / Coast,Non-management occupations
#2274,Vancouver Island / Coast,Non-management occupations
#2275,Vancouver Island / Coast,Non-management occupations
#2281,Vancouver Island / Coast,Non-management occupations
#2282,Vancouver Island / Coast,Non-management occupations
#2283,Vancouver Island / Coast,Non-management occupations
#3011,Vancouver Island / Coast,Non-management occupations
#3012,Vancouver Island / Coast,Non-management occupations
#3111,Vancouver Island / Coast,Non-management occupations
#3112,Vancouver Island / Coast,Non-management occupations
#3113,Vancouver Island / Coast,Non-management occupations
#3114,Vancouver Island / Coast,Non-management occupations
#3121,Vancouver Island / Coast,Non-management occupations
#3122,Vancouver Island / Coast,Non-management occupations
#3124,Vancouver Island / Coast,Non-management occupations
#3125,Vancouver Island / Coast,Non-management occupations
#3131,Vancouver Island / Coast,Non-management occupations
#3132,Vancouver Island / Coast,Non-management occupations
#3141,Vancouver Island / Coast,Non-management occupations
#3142,Vancouver Island / Coast,Non-management occupations
#3143,Vancouver Island / Coast,Non-management occupations
#3144,Vancouver Island / Coast,Non-management occupations
#3211,Vancouver Island / Coast,Non-management occupations
#3212,Vancouver Island / Coast,Non-management occupations
#3213,Vancouver Island / Coast,Non-management occupations
#3214,Vancouver Island / Coast,Non-management occupations
#3215,Vancouver Island / Coast,Non-management occupations
#3216,Vancouver Island / Coast,Non-management occupations
#3217,Vancouver Island / Coast,Non-management occupations
#3219,Vancouver Island / Coast,Non-management occupations
#3221,Vancouver Island / Coast,Non-management occupations
#3222,Vancouver Island / Coast,Non-management occupations
#3223,Vancouver Island / Coast,Non-management occupations
#3231,Vancouver Island / Coast,Non-management occupations
#3232,Vancouver Island / Coast,Non-management occupations
#3233,Vancouver Island / Coast,Non-management occupations
#3234,Vancouver Island / Coast,Non-management occupations
#3236,Vancouver Island / Coast,Non-management occupations
#3237,Vancouver Island / Coast,Non-management occupations
#3411,Vancouver Island / Coast,Non-management occupations
#3413,Vancouver Island / Coast,Non-management occupations
#3414,Vancouver Island / Coast,Non-management occupations
#4011,Vancouver Island / Coast,Non-management occupations
#4012,Vancouver Island / Coast,Non-management occupations
#4021,Vancouver Island / Coast,Non-management occupations
#4031,Vancouver Island / Coast,Non-management occupations
#4032,Vancouver Island / Coast,Non-management occupations
#4033,Vancouver Island / Coast,Non-management occupations
#4111,Vancouver Island / Coast,Non-management occupations
#4112,Vancouver Island / Coast,Non-management occupations
#4151,Vancouver Island / Coast,Non-management occupations
#4152,Vancouver Island / Coast,Non-management occupations
#4153,Vancouver Island / Coast,Non-management occupations
#4154,Vancouver Island / Coast,Non-management occupations
#4155,Vancouver Island / Coast,Non-management occupations
#4156,Vancouver Island / Coast,Non-management occupations
#4161,Vancouver Island / Coast,Non-management occupations
#4162,Vancouver Island / Coast,Non-management occupations
#4163,Vancouver Island / Coast,Non-management occupations
#4164,Vancouver Island / Coast,Non-management occupations
#4165,Vancouver Island / Coast,Non-management occupations
#4166,Vancouver Island / Coast,Non-management occupations
#4167,Vancouver Island / Coast,Non-management occupations
#4168,Vancouver Island / Coast,Non-management occupations
#4169,Vancouver Island / Coast,Non-management occupations
#4211,Vancouver Island / Coast,Non-management occupations
#4212,Vancouver Island / Coast,Non-management occupations
#4214,Vancouver Island / Coast,Non-management occupations
#4215,Vancouver Island / Coast,Non-management occupations
#4216,Vancouver Island / Coast,Non-management occupations
#4217,Vancouver Island / Coast,Non-management occupations
#4311,Vancouver Island / Coast,Non-management occupations
#4312,Vancouver Island / Coast,Non-management occupations
#4313,Vancouver Island / Coast,Non-management occupations
#4411,Vancouver Island / Coast,Non-management occupations
#4412,Vancouver Island / Coast,Non-management occupations
#4413,Vancouver Island / Coast,Non-management occupations
#4421,Vancouver Island / Coast,Non-management occupations
#4422,Vancouver Island / Coast,Non-management occupations
#4423,Vancouver Island / Coast,Non-management occupations
#5111,Vancouver Island / Coast,Non-management occupations
#5112,Vancouver Island / Coast,Non-management occupations
#5113,Vancouver Island / Coast,Non-management occupations
#5121,Vancouver Island / Coast,Non-management occupations
#5122,Vancouver Island / Coast,Non-management occupations
#5123,Vancouver Island / Coast,Non-management occupations
#5125,Vancouver Island / Coast,Non-management occupations
#5131,Vancouver Island / Coast,Non-management occupations
#5132,Vancouver Island / Coast,Non-management occupations
#5133,Vancouver Island / Coast,Non-management occupations
#5134,Vancouver Island / Coast,Non-management occupations
#5135,Vancouver Island / Coast,Non-management occupations
#5136,Vancouver Island / Coast,Non-management occupations
#5211,Vancouver Island / Coast,Non-management occupations
#5212,Vancouver Island / Coast,Non-management occupations
#5221,Vancouver Island / Coast,Non-management occupations
#5222,Vancouver Island / Coast,Non-management occupations
#5223,Vancouver Island / Coast,Non-management occupations
#5224,Vancouver Island / Coast,Non-management occupations
#5225,Vancouver Island / Coast,Non-management occupations
#5226,Vancouver Island / Coast,Non-management occupations
#5227,Vancouver Island / Coast,Non-management occupations
#5231,Vancouver Island / Coast,Non-management occupations
#5232,Vancouver Island / Coast,Non-management occupations
#5241,Vancouver Island / Coast,Non-management occupations
#5242,Vancouver Island / Coast,Non-management occupations
#5243,Vancouver Island / Coast,Non-management occupations
#5244,Vancouver Island / Coast,Non-management occupations
#5245,Vancouver Island / Coast,Non-management occupations
#5251,Vancouver Island / Coast,Non-management occupations
#5252,Vancouver Island / Coast,Non-management occupations
#5253,Vancouver Island / Coast,Non-management occupations
#5254,Vancouver Island / Coast,Non-management occupations
#6211,Vancouver Island / Coast,Non-management occupations
#6221,Vancouver Island / Coast,Non-management occupations
#6222,Vancouver Island / Coast,Non-management occupations
#6231,Vancouver Island / Coast,Non-management occupations
#6232,Vancouver Island / Coast,Non-management occupations
#6235,Vancouver Island / Coast,Non-management occupations
#6311,Vancouver Island / Coast,Non-management occupations
#6312,Vancouver Island / Coast,Non-management occupations
#6313,Vancouver Island / Coast,Non-management occupations
#6314,Vancouver Island / Coast,Non-management occupations
#6315,Vancouver Island / Coast,Non-management occupations
#6316,Vancouver Island / Coast,Non-management occupations
#6321,Vancouver Island / Coast,Non-management occupations
#6322,Vancouver Island / Coast,Non-management occupations
#6331,Vancouver Island / Coast,Non-management occupations
#6332,Vancouver Island / Coast,Non-management occupations
#6341,Vancouver Island / Coast,Non-management occupations
#6342,Vancouver Island / Coast,Non-management occupations
#6343,Vancouver Island / Coast,Non-management occupations
#6344,Vancouver Island / Coast,Non-management occupations
#6345,Vancouver Island / Coast,Non-management occupations
#6346,Vancouver Island / Coast,Non-management occupations
#6411,Vancouver Island / Coast,Non-management occupations
#6421,Vancouver Island / Coast,Non-management occupations
#6511,Vancouver Island / Coast,Non-management occupations
#6512,Vancouver Island / Coast,Non-management occupations
#6513,Vancouver Island / Coast,Non-management occupations
#6521,Vancouver Island / Coast,Non-management occupations
#6522,Vancouver Island / Coast,Non-management occupations
#6523,Vancouver Island / Coast,Non-management occupations
#6524,Vancouver Island / Coast,Non-management occupations
#6525,Vancouver Island / Coast,Non-management occupations
#6531,Vancouver Island / Coast,Non-management occupations
#6532,Vancouver Island / Coast,Non-management occupations
#6533,Vancouver Island / Coast,Non-management occupations
#6541,Vancouver Island / Coast,Non-management occupations
#6551,Vancouver Island / Coast,Non-management occupations
#6552,Vancouver Island / Coast,Non-management occupations
#6561,Vancouver Island / Coast,Non-management occupations
#6562,Vancouver Island / Coast,Non-management occupations
#6563,Vancouver Island / Coast,Non-management occupations
#6564,Vancouver Island / Coast,Non-management occupations
#6611,Vancouver Island / Coast,Non-management occupations
#6621,Vancouver Island / Coast,Non-management occupations
#6622,Vancouver Island / Coast,Non-management occupations
#6623,Vancouver Island / Coast,Non-management occupations
#6711,Vancouver Island / Coast,Non-management occupations
#6721,Vancouver Island / Coast,Non-management occupations
#6722,Vancouver Island / Coast,Non-management occupations
#6731,Vancouver Island / Coast,Non-management occupations
#6732,Vancouver Island / Coast,Non-management occupations
#6733,Vancouver Island / Coast,Non-management occupations
#6741,Vancouver Island / Coast,Non-management occupations
#6742,Vancouver Island / Coast,Non-management occupations
#7201,Vancouver Island / Coast,Non-management occupations
#7202,Vancouver Island / Coast,Non-management occupations
#7203,Vancouver Island / Coast,Non-management occupations
#7204,Vancouver Island / Coast,Non-management occupations
#7205,Vancouver Island / Coast,Non-management occupations
#7231,Vancouver Island / Coast,Non-management occupations
#7232,Vancouver Island / Coast,Non-management occupations
#7233,Vancouver Island / Coast,Non-management occupations
#7234,Vancouver Island / Coast,Non-management occupations
#7235,Vancouver Island / Coast,Non-management occupations
#7236,Vancouver Island / Coast,Non-management occupations
#7237,Vancouver Island / Coast,Non-management occupations
#7241,Vancouver Island / Coast,Non-management occupations
#7242,Vancouver Island / Coast,Non-management occupations
#7243,Vancouver Island / Coast,Non-management occupations
#7244,Vancouver Island / Coast,Non-management occupations
#7245,Vancouver Island / Coast,Non-management occupations
#7246,Vancouver Island / Coast,Non-management occupations
#7247,Vancouver Island / Coast,Non-management occupations
#7251,Vancouver Island / Coast,Non-management occupations
#7252,Vancouver Island / Coast,Non-management occupations
#7253,Vancouver Island / Coast,Non-management occupations
#7271,Vancouver Island / Coast,Non-management occupations
#7272,Vancouver Island / Coast,Non-management occupations
#7281,Vancouver Island / Coast,Non-management occupations
#7282,Vancouver Island / Coast,Non-management occupations
#7283,Vancouver Island / Coast,Non-management occupations
#7284,Vancouver Island / Coast,Non-management occupations
#7291,Vancouver Island / Coast,Non-management occupations
#7292,Vancouver Island / Coast,Non-management occupations
#7293,Vancouver Island / Coast,Non-management occupations
#7294,Vancouver Island / Coast,Non-management occupations
#7295,Vancouver Island / Coast,Non-management occupations
#7301,Vancouver Island / Coast,Non-management occupations
#7302,Vancouver Island / Coast,Non-management occupations
#7303,Vancouver Island / Coast,Non-management occupations
#7304,Vancouver Island / Coast,Non-management occupations
#7305,Vancouver Island / Coast,Non-management occupations
#7311,Vancouver Island / Coast,Non-management occupations
#7312,Vancouver Island / Coast,Non-management occupations
#7313,Vancouver Island / Coast,Non-management occupations
#7314,Vancouver Island / Coast,Non-management occupations
#7315,Vancouver Island / Coast,Non-management occupations
#7316,Vancouver Island / Coast,Non-management occupations
#7318,Vancouver Island / Coast,Non-management occupations
#7321,Vancouver Island / Coast,Non-management occupations
#7322,Vancouver Island / Coast,Non-management occupations
#7331,Vancouver Island / Coast,Non-management occupations
#7332,Vancouver Island / Coast,Non-management occupations
#7333,Vancouver Island / Coast,Non-management occupations
#7334,Vancouver Island / Coast,Non-management occupations
#7335,Vancouver Island / Coast,Non-management occupations
#7361,Vancouver Island / Coast,Non-management occupations
#7362,Vancouver Island / Coast,Non-management occupations
#7371,Vancouver Island / Coast,Non-management occupations
#7372,Vancouver Island / Coast,Non-management occupations
#7373,Vancouver Island / Coast,Non-management occupations
#7381,Vancouver Island / Coast,Non-management occupations
#7384,Vancouver Island / Coast,Non-management occupations
#7441,Vancouver Island / Coast,Non-management occupations
#7442,Vancouver Island / Coast,Non-management occupations
#7444,Vancouver Island / Coast,Non-management occupations
#7445,Vancouver Island / Coast,Non-management occupations
#7451,Vancouver Island / Coast,Non-management occupations
#7452,Vancouver Island / Coast,Non-management occupations
#7511,Vancouver Island / Coast,Non-management occupations
#7512,Vancouver Island / Coast,Non-management occupations
#7513,Vancouver Island / Coast,Non-management occupations
#7514,Vancouver Island / Coast,Non-management occupations
#7521,Vancouver Island / Coast,Non-management occupations
#7522,Vancouver Island / Coast,Non-management occupations
#7531,Vancouver Island / Coast,Non-management occupations
#7532,Vancouver Island / Coast,Non-management occupations
#7533,Vancouver Island / Coast,Non-management occupations
#7534,Vancouver Island / Coast,Non-management occupations
#7535,Vancouver Island / Coast,Non-management occupations
#7611,Vancouver Island / Coast,Non-management occupations
#7612,Vancouver Island / Coast,Non-management occupations
#7621,Vancouver Island / Coast,Non-management occupations
#7622,Vancouver Island / Coast,Non-management occupations
#8211,Vancouver Island / Coast,Non-management occupations
#8221,Vancouver Island / Coast,Non-management occupations
#8222,Vancouver Island / Coast,Non-management occupations
#8231,Vancouver Island / Coast,Non-management occupations
#8232,Vancouver Island / Coast,Non-management occupations
#8241,Vancouver Island / Coast,Non-management occupations
#8252,Vancouver Island / Coast,Non-management occupations
#8255,Vancouver Island / Coast,Non-management occupations
#8261,Vancouver Island / Coast,Non-management occupations
#8262,Vancouver Island / Coast,Non-management occupations
#8411,Vancouver Island / Coast,Non-management occupations
#8412,Vancouver Island / Coast,Non-management occupations
#8421,Vancouver Island / Coast,Non-management occupations
#8422,Vancouver Island / Coast,Non-management occupations
#8431,Vancouver Island / Coast,Non-management occupations
#8432,Vancouver Island / Coast,Non-management occupations
#8441,Vancouver Island / Coast,Non-management occupations
#8442,Vancouver Island / Coast,Non-management occupations
#8611,Vancouver Island / Coast,Non-management occupations
#8612,Vancouver Island / Coast,Non-management occupations
#8613,Vancouver Island / Coast,Non-management occupations
#8614,Vancouver Island / Coast,Non-management occupations
#8615,Vancouver Island / Coast,Non-management occupations
#8616,Vancouver Island / Coast,Non-management occupations
#9211,Vancouver Island / Coast,Non-management occupations
#9212,Vancouver Island / Coast,Non-management occupations
#9213,Vancouver Island / Coast,Non-management occupations
#9214,Vancouver Island / Coast,Non-management occupations
#9215,Vancouver Island / Coast,Non-management occupations
#9217,Vancouver Island / Coast,Non-management occupations
#9221,Vancouver Island / Coast,Non-management occupations
#9222,Vancouver Island / Coast,Non-management occupations
#9223,Vancouver Island / Coast,Non-management occupations
#9224,Vancouver Island / Coast,Non-management occupations
#9226,Vancouver Island / Coast,Non-management occupations
#9227,Vancouver Island / Coast,Non-management occupations
#9231,Vancouver Island / Coast,Non-management occupations
#9232,Vancouver Island / Coast,Non-management occupations
#9235,Vancouver Island / Coast,Non-management occupations
#9241,Vancouver Island / Coast,Non-management occupations
#9243,Vancouver Island / Coast,Non-management occupations
#9411,Vancouver Island / Coast,Non-management occupations
#9412,Vancouver Island / Coast,Non-management occupations
#9413,Vancouver Island / Coast,Non-management occupations
#9414,Vancouver Island / Coast,Non-management occupations
#9415,Vancouver Island / Coast,Non-management occupations
#9416,Vancouver Island / Coast,Non-management occupations
#9417,Vancouver Island / Coast,Non-management occupations
#9418,Vancouver Island / Coast,Non-management occupations
#9421,Vancouver Island / Coast,Non-management occupations
#9422,Vancouver Island / Coast,Non-management occupations
#9423,Vancouver Island / Coast,Non-management occupations
#9431,Vancouver Island / Coast,Non-management occupations
#9432,Vancouver Island / Coast,Non-management occupations
#9433,Vancouver Island / Coast,Non-management occupations
#9434,Vancouver Island / Coast,Non-management occupations
#9435,Vancouver Island / Coast,Non-management occupations
#9436,Vancouver Island / Coast,Non-management occupations
#9437,Vancouver Island / Coast,Non-management occupations
#9441,Vancouver Island / Coast,Non-management occupations
#9442,Vancouver Island / Coast,Non-management occupations
#9445,Vancouver Island / Coast,Non-management occupations
#9446,Vancouver Island / Coast,Non-management occupations
#9447,Vancouver Island / Coast,Non-management occupations
#9461,Vancouver Island / Coast,Non-management occupations
#9462,Vancouver Island / Coast,Non-management occupations
#9463,Vancouver Island / Coast,Non-management occupations
#9465,Vancouver Island / Coast,Non-management occupations
#9471,Vancouver Island / Coast,Non-management occupations
#9472,Vancouver Island / Coast,Non-management occupations
#9473,Vancouver Island / Coast,Non-management occupations
#9474,Vancouver Island / Coast,Non-management occupations
#9521,Vancouver Island / Coast,Non-management occupations
#9522,Vancouver Island / Coast,Non-management occupations
#9523,Vancouver Island / Coast,Non-management occupations
#9524,Vancouver Island / Coast,Non-management occupations
#9525,Vancouver Island / Coast,Non-management occupations
#9526,Vancouver Island / Coast,Non-management occupations
#9527,Vancouver Island / Coast,Non-management occupations
#9531,Vancouver Island / Coast,Non-management occupations
#9532,Vancouver Island / Coast,Non-management occupations
#9533,Vancouver Island / Coast,Non-management occupations
#9534,Vancouver Island / Coast,Non-management occupations
#9535,Vancouver Island / Coast,Non-management occupations
#9536,Vancouver Island / Coast,Non-management occupations
#9537,Vancouver Island / Coast,Non-management occupations
#9611,Vancouver Island / Coast,Non-management occupations
#9612,Vancouver Island / Coast,Non-management occupations
#9613,Vancouver Island / Coast,Non-management occupations
#9614,Vancouver Island / Coast,Non-management occupations
#9615,Vancouver Island / Coast,Non-management occupations
#9616,Vancouver Island / Coast,Non-management occupations
#9617,Vancouver Island / Coast,Non-management occupations
#9618,Vancouver Island / Coast,Non-management occupations
#9619,Vancouver Island / Coast,Non-management occupations
#0131,Mainland / Southwest,STEM occupations
#0211,Mainland / Southwest,STEM occupations
#0212,Mainland / Southwest,STEM occupations
#0213,Mainland / Southwest,STEM occupations
#0512,Mainland / Southwest,STEM occupations
