2016 NOC	Occupation Title	Copy for View Profile on SAO/Career Quiz tools
7281	Bricklayers	"Bricklayers lay bricks, concrete blocks, stone and other similar materials to construct or repair walls, arches, chimneys, fireplaces and other structures in accordance with blueprints and specifications."
7282	Concrete finishers	"Concrete finishers smooth and finish freshly poured concrete, apply curing or surface treatments. They install, maintain and restore various masonry structures such as foundations, floors, ceilings, sidewalks, roads, patios and high-rise buildings."
7283	Tilesetters	"Tilesetters cover interior and exterior walls, floors and ceilings with ceramic, marble and quarry tile, mosaics or terrazzo."
7284	"Plasterers, drywall installers and finishers and lathers"	"Plasterers apply finish and maintain and restore plaster or similar materials on interior and exterior walls, ceilings and building partitions to produce plain or decorative surfaces. Drywall installers and finishers install and finish drywall sheets and various types of ceiling systems. Lathers install support framework for ceiling systems, interior and exterior walls and building partitions."
7291	Roofers and shinglers	"Roofers and shingles install, repair and replace flat roofs and shingles, shakes and other roofing tiles on residential, industrial and commercial buildings."
7292	Glaziers	"Glaziers cut, fit, install and replace glass in residential, commercial and industrial buildings, on exterior walls of buildings and other structures, and in furniture and other products. They are also responsible for installing metal frameworks for glass and building walls of buildings made of glass panels."
7293	Insulators	"Insulators apply insulation materials to plumbing, air-handling, heating, cooling and refrigeration systems, piping equipment and pressure vessels, and walls, floors and ceilings of buildings and other structures, to prevent or reduce the passage of heat, cold, sound or fire."
7294	Painters and decorators (except interior decorators)	"People in these occupations work for construction companies, painting contractors and building maintenance contractors."
7295	Floor covering installers	"Floor covering installers install carpet, wood, linoleum, vinyl, and other resilient floor coverings in residential, commercial, industrial, and institutional buildings."
7301	"Contractors and supervisors, mechanic trades"	"This group includes heating, refrigeration, air conditioning, millwrighting and elevator installation trade contractors who own and operate their own businesses. This group also includes supervisors employed in a wide range of establishments who supervise and coordinate the activities of workers classified in groups within the following areas: Machinery and transportation equipment mechanics (except motor vehicle), Automotive service technicians and other mechanics."
7302	"Contractors and supervisors, heavy equipment operator crews"	"This group includes excavating, grading, paving, drilling and blasting contractors who own and operate their own business. It also includes supervisors who supervise and coordinate the activities of workers classified in the following groups: Crane Operators (NOC 7371), Drillers and Blasters Surface Mining, Quarrying and Construction (NOC 7372), Heavy Equipment Operators (Except Crane) (NOC 7521), Longshore Workers (NOC 7451), Material Handlers (NOC 7452), Public Works Maintenance Equipment Operators and Related Workers (NOC 7522), Railway Yard and Track Maintenance Workers (NOC 7531), Water Well Drillers (NOC 7373), Public Works and Maintenance Labourers (NOC 7621)."
7303	"Supervisors, printing and related occupations"	"Supervisors in this group oversee and coordinate the activities of workers who produce camera work and printing plates and cylinders, process film, print text and illustrations on paper, metal and other material and bind finished print products."
7304	"Supervisors, railway transport operations"	"People in this group supervise and coordinate the activities of railway and yard locomotive engineers, railway yard workers and railway labourers."
7305	"Supervisors, motor transport and other ground transit operators"	"People in this group supervise and coordinate activities of truck drivers, bus drivers, delivery drivers, subway and other transit operators, chauffeurs and taxi and limousine drivers. It includes bus dispatchers who coordinate the activities of transit system bus drivers and subway traffic controllers who operate and monitor signal and track switch control panels."
7311	Construction millwrights and industrial mechanics	"Construction millwrights and industrial mechanics install, maintain, troubleshoot, overhaul and repair stationary industrial machinery and mechanical equipment. This group includes industrial textile machinery mechanics and repairers."
7312	Heavy-duty equipment mechanics	"Heavy-duty equipment mechanics repair, troubleshoot, adjust, overhaul and maintain mobile heavy-duty equipment used in transportation, construction, forestry, manufacturing, farming, mining, oil, gas, material handling, landscaping, land clearing and similar activities."
7313	Refrigeration and air conditioning mechanics	"Heating, refrigeration and air conditioning mechanics install, maintain, repair and overhaul residential central air conditioning systems, commercial and industrial refrigeration and air conditioning systems and combined heating, ventilation and cooling systems. Transport refrigeration mechanics are included in this group."
7314	Railway carmen/women	"Railway carmen/women inspect, troubleshoot, maintain and repair structural and mechanical components of railway freight, passenger and urban transit rail cars."
7315	Aircraft mechanics and aircraft inspectors	"People in this occupation maintain, repair, overhaul, modify and test aircraft structural and mechanical and hydraulic systems. They inspect aircraft and aircraft systems following manufacture, modification, maintenance, repair or overhaul."
7316	Machine fitters	"Machine fitters fit, assemble and otherwise build heavy industrial machinery and transportation equipment, including aircraft engines."
7318	Elevator constructors and mechanics	"Elevator constructors and mechanics assemble, install, maintain and repair freight and passenger elevators, escalators, moving walkways and other related equipment."
7321	"Automotive service technicians, truck and bus mechanics and mechanical repairers"	"Automotive service technicians, truck and bus mechanics, and mechanical repairers work on cars, buses, and light and commercial transport trucks. They inspect, diagnose, repair and service mechanical, electrical and electronic systems and parts of vehicles. Mechanical repairers do major repairs of, and replace, mechanical units on newly built motor vehicles."
7322	Motor vehicle body repairers	"People in this occupation repair and restore damaged motor vehicle body parts, and interior finishing, repaint automotive body surfaces and repair or replace automotive glass. "
7331	Oil and solid fuel heating mechanics	"Oil and solid fuel heating mechanics install and maintain oil, coal and wood heating systems in residential and commercial buildings."
7332	Appliance servicers and repairers	"Appliance servicers and repairers maintain, service and repair home and commercial appliances and help prevent unwanted breakdowns. Some employees work specifically on small appliances and others specialize in major appliances."
7333	Electrical mechanics	"People in this occupation maintain, test, rebuild and repair electric motors, transformers, switchgear and other electrical apparatus."
7334	"Motorcycle, all-terrain vehicle and other related mechanics"	"Mechanics in this group test, repair and service motorcycles, motor scooters, snowmobiles, forklifts and all-terrain vehicles."
7335	Other small engine and small equipment repairers	"Workers in this group test, repair and service small gasoline and diesel-powered equipment, such as garden tractors, outboard motors, lawn mowers and other related equipment."
7361	Railway and yard locomotive engineers	"Railway locomotive engineers operate railway locomotives to transport passengers and freight. Yard locomotive engineers operate locomotives within yards of railway, industrial or other establishments."
7362	Railway conductors and brakemen/women	Railway conductors coordinate and supervise the activities of passenger and freight train crew members. Brakemen/women check train brakes and other systems and equipment prior to train run. They also help conductors with activities en route.
7371	Crane operators	"Crane operators run cranes or draglines to lift, move and position heavy objects, such as building materials or machinery at construction or industrial sites, ports, railway yards, surface mines and similar locations."
7372	"Drillers and blasters - surface mining, quarrying and construction"	"Drillers operate mobile drilling machines to bore blast holes in open-pit mines and quarries for blasting and for building foundations at construction sites. Blasters fill blast holes with explosives, detonate explosives to dislodge coal, ore and rock or to demolish structures."
7373	Water well drillers	"People in this occupation operate a variety of mobile water well drilling rigs and equipment to drill and monitor residential, commercial and industrial water wells."
7381	Printing press operators	"Printing press operators set up and operate sheet and web-fed presses to print illustrations, designs and text on paper, plastic, sheet metal and other material."
7384	"Other trades and related occupations, n.e.c."	"This group includes tradespersons and related skilled workers, not elsewhere classified. They repair, service, install, adjust or make a variety of products."
7441	Residential and commercial installers and servicers	"People in this group install and service a wide variety of interior and exterior prefabricated products such as windows, doors, electrical appliances, water heaters, fences, play structures and septic systems at residential or commercial properties."
7442	Waterworks and gas maintenance workers	Waterworks maintenance workers maintain and repair waterworks equipment and facilities. Gas maintenance workers check and do routine maintenance and minor repairs to exterior and underground gas mains and distribution lines.
7444	Pest controllers and fumigators	"Pest controllers and fumigators inspect buildings and outside areas for pest infestation, spray chemical treatments to kill noxious and destructive insects, rodents and other pests. They also set cage traps to capture and remove animals."
7445	Other repairers and servicers	"This group includes workers, not elsewhere classified, who repair and service a wide variety of products. People in this group repair and service items such as cameras, scales, musical instruments, coin machines, vending machines, sporting goods and other miscellaneous products and equipment."
7451	Longshore workers	"Longshore workers transfer cargo from ships and other vessels, and throughout the dock area."
7452	Material handlers	"These workers handle, move, load and unload materials by hand or using a variety of material handling equipment."
7511	Transport truck drivers	"Transport truck drivers operate heavy trucks to transport goods and materials over urban, interurban, provincial and international routes. This group also includes drivers of special purpose trucks and shunters who move trailers to and from loading docks within trucking yards or lots."
7512	"Bus drivers, subway operators and other transit operators"	"People in this career drive buses, subway trains and light rail transit vehicles so that passengers can get from place to place without a car. They drive planned routes on a schedule and people buy tickets to ride on the bus, subway or light rail train."
7513	Taxi and limousine drivers and chauffeurs	"People in this occupation drive automobiles and limousines to transport passengers, visitors of businesses, government or other organizations or members of private households."
7514	Delivery and courier service drivers	"People in this occupation drive automobiles, vans and light trucks to pick up and deliver various products."
7521	Heavy equipment operators (except crane)	"Heavy equipment operators run heavy equipment used in the building and maintenance of roads, bridges, airports, gas and oil pipelines, tunnels and buildings and other structures.  They also operate heavy equipment used in surface mining and quarrying activities."
7522	Public works maintenance equipment operators and related workers	"This group includes workers who operate vehicles and equipment to maintain streets, highways and sewer systems. Some examples of work include operating garbage trucks to collect garbage and recyclable materials, clearing vegetation close to power lines and inspecting the condition of utility poles."
7531	Railway yard and track maintenance workers	"Railway yard workers regulate yard traffic, couple and uncouple trains and perform related yard activities. Railway track maintenance workers operate machines and equipment to lay, maintain and repair railway tracks."
7532	Water transport deck and engine room crew	"Water transport deck and engine room crew stand watch, operate and maintain deck equipment. They also perform other deck and bridge duties, assist ship engineer officers to operate, maintain and repair engines, machinery and auxiliary equipment aboard ships or self-propelled vessels."
7533	Boat and cable ferry operators and related occupations	"Workers in this group operate lock gates, bridges and similar equipment along canal systems, cable ferries and ferry terminals. This group includes boat operators, and owner-operators, who operate small motorboats or watercraft to transport passengers or freight."
7534	Air transport ramp attendants	"Air transport ramp attendants operate ramp-servicing vehicles and equipment, handle cargo and baggage and perform other ground support duties at airports."
7535	Other automotive mechanical installers and servicers	"Workers in this group install replacement automotive mechanical parts such as mufflers, exhaust pipes, shock absorbers, springs and radiators. They do routine maintenance service such as oil changes, lubrication and tire repairs on automobiles, trucks and heavy equipment."
7611	Construction trades helpers and labourers	"Construction trades helpers and labourers assist skilled tradespersons and perform labouring activities at construction sites, in quarries and in surface mines."
7612	Other trades helpers and labourers	"This group includes trade helpers and labourers, not elsewhere classified, who help skilled tradespersons and perform labouring activities with the installation, maintenance and repair of industrial machinery, refrigeration, heating and air conditioning equipment. They help with the maintenance and repair of transportation and heavy equipment, telecommunication and power cables, and other settings."
7621	Public works and maintenance labourers	"Public works and maintenance labourers perform a variety of labouring activities to maintain sidewalks, streets, roads and similar areas."
7622	Railway and motor transport labourers	"Railway and motor transport labourers perform a variety of tasks to help track maintenance workers and railway yard workers, or motor transport operators."
8211	"Supervisors, logging and forestry"	People in this group supervise and coordinate the activities of workers engaged in logging and silvicultural operations.
8221	"Supervisors, mining and quarrying"	Supervisors in mining and quarrying supervise and coordinate activities of workers engaged in mining operations of underground and surface mines and quarries.
8222	"Contractors and supervisors, oil and gas drilling and services"	"Contractors and supervisors in oil and gas drilling services coordinate and supervise the activities of workers engaged in drilling for oil or gas, operating service rigs or providing oil and gas services."
8231	Underground production and development miners	"Underground production and development miners drill, blast, operate mining machinery and perform related duties to extract coal and ore in underground mines and construct mine tunnels, passageways and shafts to facilitate mining operations."
8232	"Oil and gas well drillers, servicers, testers and related workers"	Oil and gas well drillers and service rig operators control the operation of drilling and hoisting equipment on drilling and service rigs.
8241	Logging machinery operators	"People in this occupation operate cable yarding systems, mechanical harvesters and forwarders and mechanical tree processors and loaders to fall, yard and process trees at logging sites."
8252	"Agricultural service contractors, farm supervisors and specialized livestock workers"	"Agricultural service contractors, who own and operate their own businesses, provide agricultural services such as livestock and poultry breeding, soil preparation, crop planting, crop spraying, cultivating or harvesting. Farm supervisors supervise the work of general farm workers and harvesting labourers. Specialized livestock workers carry out feeding, health and breeding programs on dairy, beef, sheep, poultry, hog and other livestock farms."
8255	"Contractors and supervisors, landscaping, grounds maintenance and horticulture services"	"This group includes landscaping and grounds maintenance contractors, who own and operate their own businesses. This group also includes supervisors who supervise and co-ordinate the activities of workers in the following groups: Nursery and Greenhouse Workers (8432), Landscaping and Grounds Maintenance Labourers (8612)."
8261	Fishing masters and officers	Fishing masters and officers manage and operate saltwater and freshwater fishing vessels greater than 100 gross tonnes to catch fish and other marine life.
8262	Fishermen/women	Fishing vessel skippers and fishermen/women operate fishing vessels to catch fish and other marine life.
8411	Underground mine service and support workers	"Underground mine service and support workers perform a range of duties related to the operation of orepasses, chutes and conveyor systems."
8412	Oil and gas well drilling and related workers and services operators	"Oil and gas well drilling workers are intermediate members of the rig crews that operate drilling and service rig machinery.
"
8421	Chain saw and skidder operators	"Chainsaw and skidder operators work together to prepare sites for logging and harvesting. These workers operate chain saws to fell, delimb and buck trees, and operate skidders to move or yard the felled trees from the logging site to the landing area for processing and transportation. "
8422	Silviculture and forestry workers	"Silviculture and forestry workers perform a variety of duties related to reforestation and to the management, improvement and conservation of forests. This occupational group includes forest firefighters."
8431	General farm workers	"This group includes operators of farm machinery. People in this occupation plant, cultivate and harvest crops. They raise livestock and poultry. They also maintain and repair farm equipment and buildings."
8432	Nursery and greenhouse workers	"Nursery and greenhouse workers plant, cultivate and harvest trees, shrubs, flowers, greenhouse vegetables and plants."
8441	Fishing vessel deckhands	Fishing vessel deckhands perform a variety of manual tasks on commercial fishing trips and maintain fishing boats.
8442	Trappers and hunters	People in this occupation trap and hunt wild animals for pelts or live sale.
8611	Harvesting labourers	"Harvesting labourers help other farm workers to harvest, sort and pack crops."
8612	Landscaping and grounds maintenance labourers	Landscaping and grounds maintenance labourers assist with constructing landscapes and related structures.
8613	Aquaculture and marine harvest labourers	"This group includes aquaculture support workers, marine plant gatherers, shellfish diggers and other labourers in aquaculture and fishing."
8614	Mine labourers	"Mine labourers carry out a variety of labouring duties to assist in the extraction of coal, metal, mineral deposits and ore in support of underground and surface mining."
8615	"Oil and gas drilling, servicing and related labourers"	Workers carry out a variety of labouring duties and operate equipment to assist in the drilling and servicing of oil and gas wells. This group also includes labourers who assist in geophysical prospecting for oil and gas.
8616	Logging and forestry labourers	"Logging and forestry labourers attach choker cables to logs, plant trees, clear brush, spray chemicals, clean up landing areas and assist other workers in woodlands operations."
9211	"Supervisors, mineral and metal processing"	"People in this occupation supervise and co-ordinate the activities of workers in the following groups: Central control and process operators, mineral and metal processing (NOC 9231), Labourers in mineral and metal processing (NOC 9611)."
9212	"Supervisors, petroleum, gas and chemical processing and utilities"	"Supervisors in this group supervise and coordinate the activities of workers in the following groups: Central control and process operators, petroleum, gas and chemical processing (NOC 9232), Chemical plant machine operators (NOC 9421), Labourers in chemical products processing and utilities (NOC 9613), Water and waste treatment plant operators (NOC 9243), Power engineers and power systems operators (NOC 9241)."
9213	"Supervisors, food, beverage and associated products processing"	"People in this group supervise and coordinate the activities of workers who operate processing machines, and package or grade food, beverage and associated products."
9214	"Supervisors, plastic and rubber products manufacturing"	"People in this group supervise and coordinate the activities of workers who operate processing machines, and who fabricate, assemble and inspect rubber or plastic products."
9215	"Supervisors, forest products processing"	"Supervisors in this group supervise and co-ordinate the activities of workers in the following groups: Pulping, papermaking and coating control operators (NOC 9235), Labourers in wood, pulp and paper processing (NOC 9614)."
9217	"Supervisors, textile, fabric, fur and leather products processing and manufacturing"	"Supervisors in this group supervise and co-ordinate the activities of workers engaged in textile, fabric, fur and leather products processing and manufacturing."
9221	"Supervisors, motor vehicle assembling"	People in this group supervise and coordinate the activities of workers in motor vehicle production departments.
9222	"Supervisors, electronics manufacturing"	"People in this group supervise and coordinate the activities of workers who assemble, fabricate, test, repair and inspect electronic parts, components and systems."
9223	"Supervisors, electrical products manufacturing"	"People in this group supervise and coordinate the activities of workers who assemble, make and inspect electrical components, appliances, motors and industrial equipment."
9224	"Supervisors, furniture and fixtures manufacturing"	People in this group supervise and coordinate the activities of workers who manufacture furniture and fixtures made of wood or other materials.
9226	"Supervisors, other mechanical and metal products manufacturing"	"People in this group supervise and coordinate the activities of workers who make, assemble and inspect mechanical and metal products, such as aircraft and aircraft parts, heavy trucks, buses, trailers, motor vehicle engines, transmissions, heating equipment, commercial refrigeration and similar metal products."
9227	"Supervisors, other products manufacturing and assembly"	"This group includes supervisors, not elsewhere classified, who supervise and coordinate the activities of workers who assemble, make and inspect a variety of products, such as jewellery, clocks and watches, millwork, sporting goods, toys and other miscellaneous products."
9231	"Central control and process operators, mineral and metal processing"	"People in this occupation operate and monitor multi-function process control machinery and equipment to control the processing of mineral ores, metals or cement."
9232	"Petroleum, gas and chemical process operators"	"Petroleum, gas and chemical process operators monitor and operate petroleum, petrochemical and chemical plants and monitor, adjust and maintain processing units and equipment in these plants. "
9235	"Pulping, papermaking and coating control operators"	"Papermaking and coating control operators run and monitor multi-function process control machinery and equipment to control the processing of paper, paper pulp and paperboard."
9241	Power engineers and power systems operators	"Power engineers operate and maintain reactors, turbines, boilers, generators, stationary engines and auxiliary equipment to generate electrical power and to provide heat, light, refrigeration and other utility services for commercial, industrial and institutional buildings and other work sites. Power systems operators monitor and operate switchboards and related equipment in electrical control centres to control the distribution of electrical power in transmission networks.
"
9243	Water and waste treatment plant operators	"People in this occupation monitor and operate computerized control systems and related equipment in water filtration and treatment plants, wastewater, sewage treatment and liquid waste plants to regulate the treatment, distribution of water, disposal of sewage and wastes."
9411	"Machine operators, mineral and metal processing"	Machine operators in mineral and metal processing run single-function machines or machinery that are part of a larger production to process mineral ore and metal products.
9412	Foundry workers	"Foundry workers make foundry moulds and cores by hand or machine, cast molten metal and operate furnaces."
9413	Glass forming and finishing machine operators and glass cutters	"People in this group operate multi-function process control machinery or single function machines to melt, form, cut or finish flat glass and other glass products. They also cut flat glass of various thicknesses to specified sizes and shapes by hand."
9414	"Concrete, clay and stone forming operators"	"Workers in this group cast and finish concrete products. They operate machines to extrude, mould, press and bake clay products. They also operate machines to form, cut and finish stone products."
9415	"Inspectors and testers, mineral and metal processing"	"People in this occupation inspect, grade, sample or test raw materials and products from mineral ore and metal processing operations."
9416	Metalworking and forging machine operators	"People in this occupation operate metalworking machines which shape and form sheet or other metal into parts or products. They operate forging machines to form and shape metal into various shapes and sizes and impart desired strength, hardness or other characteristics."
9417	Machining tool operators	People in this career set up and run metal-cutting machines designed for repetitive machining work. They also etch or chemically mill metal pieces.
9418	Other metal products machine operators	"People in this occupation operate one or more automatic or multi-purpose machines to produce a variety of metal parts and products, such as wire mesh, nails, bolts and chains."
9421	Chemical plant machine operators	"Chemical plant machine operators monitor and operate units and machinery to blend, mix, process and package a wide range of specialty chemicals, pharmaceuticals, cleaning and toiletry products."
9422	Plastics processing machine operators	"Plastics processing machine operators set up and operate plastic mixing, calendering, extruding and moulding processing machines used in the manufacture of plastic parts and plastic products."
9423	Rubber processing machine operators and related workers	Workers in this group run rubber processing machinery and put together and inspect rubber products.
9431	Sawmill machine operators	"Sawmill machine operators run, monitor and control automated lumber mill equipment. They saw timber logs into rough timber; saw, trim and plane rough lumber to dressed lumber of various sizes; and saw or split shingles and shakes."
9432	Pulp mill machine operators	Pulp mill machine operators run and monitor various types of processing machinery and equipment to produce pulp.
9433	Papermaking and finishing machine operators	"Papermaking and finishing machine operators run process machinery and equipment. They help papermaking and coating control operators to produce, coat and finish paper."
9434	Other wood processing machine operators	"Machine operators in this group run and look after wood processing equipment and machines to remove bark from logs, produce wood chips, preserve and treat wood, and produce waferboards, particleboards, hardboards, insulation boards, plywood, veneers and similar wood products."
9435	Paper converting machine operators	"Paper converting machine operators run various machines that make paper products such as paper bags, containers, boxes, envelopes and similar articles."
9436	Lumber graders and other wood processing inspectors and graders	"People in this occupation inspect and grade lumber, shingles, veneer, waferboard and similar wood products to identify defects, make sure company specifications are followed and classify products according to industry standards."
9437	Woodworking machine operators	"Woodworking machine operators set up, program and operate one or more woodworking machines to make or repair wooden parts for furniture, fixtures or other wood products."
9441	"Textile fibre and yarn, hide and pelt processing machine operators and workers"	"People in this occupation run machines to prepare textile fibres; spin, wind or twist yarn or thread; and bleach, dye or finish yarn, thread, cloth or textile products. They trim, scrape, clean, tan, buff and dye animal hides, pelts or skins to produce leather stock and finished furs."
9442	"Weavers, knitters and other fabric making occupations"	"Operators in this group run machines to process yarn or thread into woven, non-woven and knitted products such as cloth, lace, carpets, rope, industrial fabric, hosiery and knitted garments or to quilt and embroider fabric."
9445	"Fabric, fur and leather cutters"	"Fabric cutters cut fabric to make parts for garments, linens and other articles. Fur cutters cut fur pelts to make parts for garments and other fur articles. Leather cutters cut leather to make parts for shoes, garments and other leather articles."
9446	Industrial sewing machine operators	"People in this occupation operate sewing machines to sew fabric, fur, leather or synthetic materials to produce or repair garments and other articles."
9447	"Inspectors and graders, textile, fabric, fur and leather products manufacturing"	"Inspectors and graders in this group inspect and grade textile, fabric, fur and leather products."
9461	"Process control and machine operators, food, beverage and associated products processing"	"People in this occupation run multi-function process control machinery or single-function machines to process and package food, beverage and associated products."
9462	"Industrial butchers and meat cutters, poultry preparers and related workers"	"Workers in this group prepare meat and poultry for further processing, for packaging or for marketing."
9463	Fish and seafood plant workers	"This group includes fish and seafood plant machine operators who set up and operate machinery to process and package fish and seafood products. It also includes fish and seafood plant cutters and cleaners who cut, trim and clean fish or seafood by hand."
9465	"Testers and graders, food, beverage and associated products processing"	"People in this occupation test or grade ingredients and finished food, beverage or associated products to make sure company standards are met."
9471	Plateless printing equipment operators	"This group includes workers who operate laser printers, computerized high speed colour copiers and other printing machines to print text, illustrations and designs on a wide variety of materials such as paper, plastic, glass, leather and metal."
9472	"Camera, platemaking and other prepress occupations"	"This group includes prepress technicians who operate various computer controlled systems to perform prepress activities. It also includes workers who operate graphic arts cameras and scanners, assemble film and negatives and prepare, engrave and etch printing plates or cylinders for various types of printing presses."
9473	Binding and finishing machine operators	"People in this occupation set up, operate or oversee the operation of specific machines, equipment or computerized units that bind and finish printed material. They perform finishing tasks in the paper, carton and packaging industries, encode and stamp plastic cards."
9474	Photographic and film processors	People in this occupation process and finish still photographic film and motion picture film.
9521	Aircraft assemblers and aircraft assembly inspectors	"People in this occupation put together, fit and install pre-made parts to manufacture fixed wing or rotary wing aircraft or aircraft components. They also examine aircraft components to ensure they meet engineering specifications."
9522	"Motor vehicle assemblers, inspectors and testers"	"People in this occupation assemble and install pre-made motor vehicle parts and components to form components and finished motor vehicles. They inspect and test parts, components, accessories and finished products to ensure proper performance and quality standards."
9523	"Electronics assemblers, fabricators, inspectors and testers"	"People in this occupation assemble and construct electronic equipment, parts and components. They inspect and test electronic parts and components to ensure they meet certain standards."
9524	"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing"	"People in this occupation assemble, build, fit, wire and inspect heavy-duty industrial electrical equipment for electrical appliance and electrical equipment manufacturing companies."
9525	"Assemblers, fabricators and inspectors, industrial electrical motors and transformers"	"People in this occupation assemble, build, fit, wire and inspect heavy-duty industrial electrical equipment for manufacturers of industrial electric motors, transformers, control equipment, transit vehicles and other heavy electrical equipment."
9526	Mechanical assemblers and inspectors	"People in this occupation assemble a wide variety of mechanical products, such as trucks, buses, snowmobiles, garden tractors, automotive engines, transmissions, outboard motors, gearboxes, hydraulic pumps and sewing machines. They check and inspect parts and finished products to ensure quality. "
9527	"Machine operators and inspectors, electrical apparatus manufacturing"	"People in this occupation run machinery or equipment to make complete products or parts for use in the assembly of electrical appliances and equipment, and electrical devices, such as batteries, fuses and plugs. They examine and test completed parts and production items."
9531	Boat assemblers and inspectors	"People in this occupation assemble wooden, fibreglass and metal boats, such as sailboats, motorboats, canoes and cabin cruisers. They check assembled boats to ensure product quality.
"
9532	Furniture and fixture assemblers and inspectors	"People in this occupation assemble parts to form furniture and fixtures, examine products to ensure product quality.
"
9533	Other wood products assemblers and inspectors	"People in this occupation assemble a variety of wood products and millwork, such as window sashes and doors. They inspect wood products to ensure product quality."
9534	Furniture finishers and refinishers	"People in this occupation finish new wood or metal furniture to a certain colour and finish. They refinish repaired, used or old furniture."
9535	"Plastic products assemblers, finishers and inspectors"	"People in this occupation assemble, finish and inspect plastic parts and finished products."
9536	"Industrial painters, coaters and metal finishing process operators"	"Painters and coaters in this group tend and operate machines or use brushes and spray equipment to apply paint, enamel, lacquer or other non-metallic protective and decorative coatings to various products. Metal finishing process operators operate machines or equipment to deposit metallized substances on workpieces and surfaces to provide decorative, protective and restorative coatings."
9537	"Other products assemblers, finishers and inspectors"	"People in this group assemble, finish and inspect components or products of various materials, such as jewellery, silverware, buttons, pencils, non-prescription lenses, brushes, clocks and watches, musical instruments, sporting goods, toys and other miscellaneous products."
9611	Labourers in mineral and metal processing	"Labourers in this group perform material handling, clean up, packaging and other elemental activities related to mineral ore and metal processing."
9612	Labourers in metal fabrication	"Labourers in metal fabrication remove excess metal and unwanted materials from metal parts, castings and other metal products. They also perform other labouring activities."
9613	Labourers in chemical products processing and utilities	"Labourers in chemical products processing and utilities carry out a variety of material handling, cleaning and routine general labouring activities."
9614	"Labourers in wood, pulp and paper processing"	"Labourers in wood, pulp and paper processing carry out a variety of general labouring and routine wood processing activities. They also help pulp mill and papermaking machine operators."
9615	Labourers in rubber and plastic products manufacturing	"Labourers in rubber and plastic products manufacturing help machine operators, transport materials and perform similar tasks."
9616	Labourers in textile processing	"Labourers in textile processing perform a variety of manual duties to help process fibres into yarn or thread, or to help with weaving, knitting, bleaching, dyeing or finishing textile fabrics or other textile products."
9617	"Labourers in food, beverage and associated products processing"	"Labourers in food and beverage processing do packaging, material handling, clean up and other basic activities involved in processing food, beverage and related products."
9618	Labourers in fish and seafood processing	"Labourers in this group do clean-up, packaging, material handling and other basic activities related to fish and seafood processing."
9619	"Other labourers in processing, manufacturing and utilities"	"This group includes labourers, not elsewhere classified, who do material handling, cleanup, packaging and other basic activities in processing, manufacturing and utilities."
		
